method,env_variant,parameter,value,obstacle_seed,success_rate,avg_reward,avg_steps,greedy_eval_success_rate,greedy_eval_reward
Q-Learning,static,alpha,0.05,100,1.0,45.86,32.24,1.0,82.0
Q-Learning,dynamic,alpha,0.05,100,1.0,-11.28,61.58,0.0,-200.0
Q-Learning,static,alpha,0.1,100,1.0,54.6,29.7,1.0,82.0
Q-Learning,dynamic,alpha,0.1,100,1.0,40.92,32.98,1.0,72.83333333333333
Q-Learning,static,alpha,0.2,100,1.0,59.94,29.76,1.0,82.0
Q-Learning,dynamic,alpha,0.2,100,1.0,36.02,37.28,1.0,72.83333333333333
Q-Learning,static,gamma,0.9,100,1.0,56.5,28.0,1.0,82.0
Q-Learning,dynamic,gamma,0.9,100,1.0,34.16,34.94,1.0,54.86666666666667
Q-Learning,static,gamma,0.95,100,1.0,62.9,28.4,1.0,82.0
Q-Learning,dynamic,gamma,0.95,100,1.0,32.88,34.62,1.0,54.86666666666667
Q-Learning,static,gamma,0.99,100,1.0,54.6,29.7,1.0,82.0
Q-Learning,dynamic,gamma,0.99,100,1.0,40.92,32.98,1.0,72.83333333333333
Q-Learning,static,epsilon_decay,0.99,100,1.0,81.2,21.5,1.0,82.0
Q-Learning,dynamic,epsilon_decay,0.99,100,1.0,74.46,22.04,1.0,72.83333333333333
Q-Learning,static,epsilon_decay,0.995,100,1.0,54.6,29.7,1.0,82.0
Q-Learning,dynamic,epsilon_decay,0.995,100,1.0,40.92,32.98,1.0,72.83333333333333
Q-Learning,static,epsilon_decay,0.998,100,1.0,-40.78,58.48,1.0,82.0
Q-Learning,dynamic,epsilon_decay,0.998,100,1.0,-50.64,66.54,1.0,54.86666666666667
Q-Learning,static,shaped_reward,False,100,1.0,48.4,30.0,1.0,82.0
Q-Learning,dynamic,shaped_reward,False,100,1.0,31.32,33.88,1.0,72.83333333333333
Q-Learning,static,shaped_reward,True,100,1.0,54.6,29.7,1.0,82.0
Q-Learning,dynamic,shaped_reward,True,100,1.0,40.92,32.98,1.0,72.83333333333333
DQN,static,lr,0.0005,100,1.0,61.74,27.96,1.0,82.0
DQN,dynamic,lr,0.0005,100,1.0,51.34,29.16,1.0,64.93333333333334
DQN,static,lr,0.001,100,1.0,56.42,28.88,1.0,82.0
DQN,dynamic,lr,0.001,100,1.0,54.04,28.66,1.0,81.86666666666666
DQN,static,lr,0.002,100,1.0,53.76,28.94,1.0,82.0
DQN,dynamic,lr,0.002,100,1.0,50.34,29.76,1.0,81.73333333333333
DQN,static,gamma,0.9,100,1.0,53.88,28.42,1.0,82.0
DQN,dynamic,gamma,0.9,100,1.0,49.66,29.64,1.0,82.0
DQN,static,gamma,0.95,100,1.0,53.44,28.06,1.0,82.0
DQN,dynamic,gamma,0.95,100,1.0,52.76,29.54,1.0,80.9
DQN,static,gamma,0.99,100,1.0,52.62,29.08,1.0,82.0
DQN,dynamic,gamma,0.99,100,1.0,49.92,29.98,1.0,81.33333333333333
DQN,static,epsilon_decay,0.99,100,1.0,79.84,21.66,1.0,82.0
DQN,dynamic,epsilon_decay,0.99,100,1.0,82.06,21.64,1.0,80.9
DQN,static,epsilon_decay,0.995,100,1.0,55.7,28.8,1.0,82.0
DQN,dynamic,epsilon_decay,0.995,100,1.0,56.38,29.72,1.0,81.93333333333334
DQN,static,epsilon_decay,0.998,100,1.0,-38.92,59.22,1.0,82.0
DQN,dynamic,epsilon_decay,0.998,100,1.0,-49.1,62.4,1.0,81.86666666666666
DQN,static,shaped_reward,False,100,1.0,46.68,29.32,1.0,82.0
DQN,dynamic,shaped_reward,False,100,1.0,43.44,29.36,1.0,81.93333333333334
DQN,static,shaped_reward,True,100,1.0,54.3,29.4,1.0,82.0
DQN,dynamic,shaped_reward,True,100,1.0,56.6,28.9,1.0,81.6
